t	A01:sig	A02:1sig'	A03:1sum	A04:1diff	A05:1ax1	A06:1ax2	A07:1ax3	A08:1ax4	A09:1ax5	D10:on	D11:ax
0.189453	0.00846168	0	0	0	0	0	0	0	0	0	0
0.191406	0.00895314	0	0	0	0	0	0	0	0	0	0
0.193359	0.00910796	0	0	0	0	0	0	0	0	0	0
0.195312	0.00892752	0	0	0	0	0	0	0	0	0	0
0.197266	0.00841939	0	0	0	0	0	0	0	0	0	0
0.199219	0.00759562	0	0	0	0	0	0	0	0	0	0
0.201172	0.00647288	0	0	0	0	0	0	0	0	0	0
0.203125	0.00507322	0	0	0	0	0	0	0	0	0	0
0.205078	0.00342715	0	0	0	0	0	0	0	0	0	0
0.207031	0.00157647	0	0	0	0	0	0	0	0	0	0
0.208984	-0.000423041	0	0	0	0	0	0	0	0	0	0
0.210938	-0.00250006	0	0	0	0	0	0	0	0	0	0
0.212891	-0.0045681	0	0	0	0	0	0	0	0	0	0
0.214844	-0.00652845	0	0	0	0	0	0	0	0	0	0
0.216797	-0.00827575	0	0	0	0	0	0	0	0	0	0
0.21875	-0.00970544	0	0	0	0	0	0	0	0	0	0
0.220703	-0.0107229	0	0	0	0	0	0	0	0	0	0
0.222656	-0.0112529	0	0	0	0	0	0	0	0	0	0
0.224609	-0.0112479	0	0	0	0	0	0	0	0	0	0
0.226562	-0.0106942	0	0	0	0	0	0	0	0	0	0
0.228516	-0.00961511	0	0	0	0	0	0	0	0	0	0
0.230469	-0.00807032	0	0	0	0	0	0	0	0	0	0
0.232422	-0.00615127	0	0	0	0	0	0	0	0	0	0
0.234375	-0.00397351	0	0	0	0	0	0	0	0	0	0
0.236328	-0.00166615	0	0	0	0	0	0	0	0	0	0
0.238281	0.000639132	0	0	0	0	0	0	0	0	0	0
0.240234	0.00281976	0	0	0	0	0	0	0	0	0	0
0.242188	0.00477108	0	0	0	0	0	0	0	0	0	0
0.244141	0.0064133	0	0	0	0	0	0	0	0	0	0
0.246094	0.00769478	0	0	0	0	0	0	0	0	0	0
0.248047	0.00859128	0	0	0	0	0	0	0	0	0	0
0.25	0.00910292	0	0	0	0	0	0	0	0	0	0
0.251953	0.0092478	0	0	0	0	0	0	0	0	0	0
0.253906	0.00905559	0	0	0	0	0	0	0	0	0	0
0.255859	0.00856009	0	0	0	0	0	0	0	0	0	0
0.257812	0.00779437	0	0	0	0	0	0	0	0	0	0
0.259766	0.00678727	0	0	0	0	0	0	0	0	0	0
0.261719	0.00556277	0	0	0	0	0	0	0	0	0	0
0.263672	0.0041421	0	0	0	0	0	0	0	0	0	0
0.265625	0.00254771	0	0	0	0	0	0	0	0	0	0
0.267578	0.000807914	0	0	0	0	0	0	0	0	0	0
0.269531	-0.00103788	0	0	0	0	0	0	0	0	0	0
0.271484	-0.00293594	0	0	0	0	0	0	0	0	0	0
0.273438	-0.00481715	0	0	0	0	0	0	0	0	0	0
0.275391	-0.00659862	0	0	0	0	0	0	0	0	0	0
0.277344	-0.0081884	0	0	0	0	0	0	0	0	0	0
0.279297	-0.00949266	0	0	0	0	0	0	0	0	0	0
0.28125	-0.0104246	0	0	0	0	0	0	0	0	0	0
0.283203	-0.0109137	0	0	0	0	0	0	0	0	0	0
0.285156	-0.0109138	0	0	0	0	0	0	0	0	0	0
0.287109	-0.0104091	0	0	0	0	0	0	0	0	0	0
0.289062	-0.009417	0	0	0	0	0	0	0	0	0	0
0.291016	-0.00798725	0	0	0	0	0	0	0	0	0	0
0.292969	-0.00619755	0	0	0	0	0	0	0	0	0	0
0.294922	-0.00414593	0	0	0	0	0	0	0	0	0	0
0.296875	-0.00194144	0	0	0	0	0	0	0	0	0	0
0.298828	0.00030596	0	0	0	0	0	0	0	0	0	0
0.300781	0.00249433	0	0	0	0	0	0	0	0	0	0
0.302734	0.00447068	0	0	0	0	0	0	0	0	0	0
0.304688	0.00624593	0	0	0	0	0	0	0	0	0	0
0.306641	0.007784	0	0	0	0	0	0	0	0	0	0
0.308594	0.0090628	0	0	0	0	0	0	0	0	0	0
0.310547	0.010069	0	0	0	0	0	0	0	0	0	0
0.3125	0.0107921	0	0	0	0	0	0	0	0	0	0
0.314453	0.0112191	0	0	0	0	0	0	0	0	0	0
0.316406	0.0113318	0	0	0	0	0	0	0	0	0	0
0.318359	0.0111067	0	0	0	0	0	0	0	0	0	0
0.320312	0.0105179	0	0	0	0	0	0	0	0	0	0
0.322266	0.009543	0	0	0	0	0	0	0	0	0	0
0.324219	0.00817005	0	0	0	0	0	0	0	0	0	0
0.326172	0.00640642	0	0	0	0	0	0	0	0	0	0
0.328125	0.00428523	0	0	0	0	0	0	0	0	0	0
0.330078	0.00187051	0	0	0	0	0	0	0	0	0	0
0.332031	-0.00074195	0	0	0	0	0	0	0	0	0	0
0.333984	-0.00342742	0	0	0	0	0	0	0	0	0	0
0.335938	-0.00603939	0	0	0	0	0	0	0	0	0	0
0.337891	-0.00842043	0	0	0	0	0	0	0	0	0	0
0.339844	-0.0104155	0	0	0	0	0	0	0	0	0	0
0.341797	-0.0118863	0	0	0	0	0	0	0	0	0	0
0.34375	-0.0127251	0	0	0	0	0	0	0	0	0	0
0.345703	-0.0128653	0	0	0	0	0	0	0	0	0	0
0.347656	-0.0122891	0	0	0	0	0	0	0	0	0	0
0.349609	-0.0110295	0	0	0	0	0	0	0	0	0	0
0.351562	-0.00916782	0	0	0	0	0	0	0	0	0	0
0.353516	-0.00682606	0	0	0	0	0	0	0	0	0	0
0.355469	-0.00415532	0	0	0	0	0	0	0	0	0	0
0.357422	-0.00132174	0	0	0	0	0	0	0	0	0	0
0.359375	0.00150833	0	0	0	0	0	0	0	0	0	0
0.361328	0.00418212	0	0	0	0	0	0	0	0	0	0
0.363281	0.00657264	0	0	0	0	0	0	0	0	0	0
0.365234	0.00858615	0	0	0	0	0	0	0	0	0	0
0.367188	0.0101664	0	0	0	0	0	0	0	0	0	0
0.369141	0.0112941	0	0	0	0	0	0	0	0	0	0
0.371094	0.0119823	0	0	0	0	0	0	0	0	0	0
0.373047	0.0122686	0	0	0	0	0	0	0	0	0	0
0.375	0.0122067	0	0	0	0	0	0	0	0	0	0
0.376953	0.011856	0	0	0	0	0	0	0	0	0	0
0.378906	0.0112728	0	0	0	0	0	0	0	0	0	0
0.380859	0.0105043	0	0	0	0	0	0	0	0	0	0
0.382812	0.00958395	0	0	0	0	0	0	0	0	0	0
0.384766	0.00853139	0	0	0	0	0	0	0	0	0	0
0.386719	0.00735466	0	0	0	0	0	0	0	0	0	0
0.388672	0.00605522	0	0	0	0	0	0	0	0	0	0
0.390625	0.00463469	0	0	0	0	0	0	0	0	0	0
0.392578	0.00310206	0	0	0	0	0	0	0	0	0	0
0.394531	0.00148006	0	0	0	0	0	0	0	0	0	0
0.396484	-0.00019017	0	0	0	0	0	0	0	0	0	0
0.398438	-0.00184696	0	0	0	0	0	0	0	0	0	0
0.400391	-0.00340943	0	0	0	0	0	0	0	0	0	0
0.402344	-0.00478221	0	0	0	0	0	0	0	0	0	0
0.404297	-0.00586324	0	0	0	0	0	0	0	0	0	0
0.40625	-0.00655358	0	0	0	0	0	0	0	0	0	0
