t	A01:w01	A02:w02	A03:w03	A04:w04	A05:w05	A06:w06	A07:w07	A08:w08	A09:w09	A10:w10	A11:w11	A12:w12	A13:w13	A14:w14	A15:w15	A16:w16	A17:w17	A18:w18	A19:s111	A20:s112	A21:s211	A22:s212	A23:a11	A24:a21
0.03125	0.00586832	0.00866222	0.00926679	0.00752735	0.00757444	0.00881672	0.00889635	0.00878549	0.00915849	0.00721884	0.0094533	0.00686097	0.00552988	0.00406688	0.00542426	0.00408858	0.00293827	0.000666857	0.00188935	0.00881672	-0.000641763	0.00408858	0.00721884	-0.000641763
0.0332031	0.00407994	0.00624882	0.0064494	0.00507379	0.00534093	0.00638807	0.00643957	0.00634933	0.00625753	0.00507545	0.00731564	0.00485349	0.00413454	0.0030188	0.00390863	0.00296742	0.00234732	0.000850201	0.00130677	0.00638807	-0.000760615	0.00296742	0.00507545	-0.000760615
0.0351562	0.00214565	0.00360529	0.00335383	0.00239468	0.00283504	0.00363231	0.00363469	0.00358188	0.00302231	0.00261474	0.00468075	0.00249457	0.00236654	0.00167662	0.00198579	0.00153506	0.00150824	0.000906348	0.000967979	0.00363231	-0.000775814	0.00153506	0.00261474	-0.000775814
0.0371094	0.000193596	0.000899568	0.000169218	-0.000346422	0.000204086	0.000691772	0.000626922	0.000623107	-0.00038588	-3.3617e-05	0.00168645	-8.70228e-05	0.000328064	0.000132918	-0.000207663	-0.000101984	0.000489086	0.00083077	0.000895202	0.000691772	-0.00068289	-0.000101984	-3.3617e-05	-0.00068289
0.0390625	-0.00164449	-0.00169033	-0.00290287	-0.00297821	-0.00239015	-0.00227022	-0.00241554	-0.00236809	-0.00378716	-0.0027194	-0.00148749	-0.00273228	-0.0018425	-0.00149298	-0.0024972	-0.00180861	-0.000618458	0.000635266	0.00106537	-0.00227022	-0.000493586	-0.00180861	-0.0027194	-0.000493586
0.0410156	-0.00324357	-0.00399201	-0.00566399	-0.00533366	-0.00478172	-0.00508106	-0.00531352	-0.00522459	-0.00699258	-0.00527954	-0.00463212	-0.00526619	-0.00398338	-0.00306696	-0.0046885	-0.00343636	-0.00171003	0.000345945	0.00141466	-0.00508106	-0.000234902	-0.00343636	-0.00527954	-0.000234902
0.0429688	-0.00449824	-0.00585371	-0.00793725	-0.00726569	-0.00681722	-0.00757039	-0.00788891	-0.00778091	-0.00981474	-0.00755072	-0.00752866	-0.0075109	-0.00592577	-0.00445604	-0.00659037	-0.00484055	-0.00268108	-4.76837e-07	0.00184911	-0.00757039	5.58496e-05	-0.00484055	-0.00755072	5.58496e-05
0.0449219	-0.00533211	-0.00715847	-0.00958133	-0.00865853	-0.0083648	-0.00958204	-0.00997734	-0.00988233	-0.0120811	-0.00938344	-0.00996673	-0.00930262	-0.00751114	-0.00554317	-0.00803781	-0.00589749	-0.00344005	-0.000361204	0.00225961	-0.00958204	0.000336349	-0.00589749	-0.00938344	0.000336349
0.046875	-0.00570464	-0.00783426	-0.0105041	-0.00943744	-0.0093292	-0.0109873	-0.011441	-0.0113989	-0.0136464	-0.010653	-0.0117651	-0.0105104	-0.00860906	-0.00624037	-0.00890946	-0.0065189	-0.00391951	-0.000694156	0.00254065	-0.0109873	0.000565886	-0.0065189	-0.010653	0.000565886
0.0488281	-0.00561345	-0.00785968	-0.0106683	-0.00957429	-0.00965655	-0.0116943	-0.0121807	-0.0122324	-0.0144037	-0.0112722	-0.0127883	-0.0110447	-0.00913143	-0.00649881	-0.00914097	-0.0066613	-0.00408357	-0.000962257	0.00260717	-0.0116943	0.000710964	-0.0066613	-0.0112722	0.000710964
